,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9,10,11,12
76,CHN,2023,2.0,0.09077095,0.14901973,0.035497673,0.09209593,0.059958987,0.0695384,0.059921723,0.04986081,0.104178794,0.051162623,0.08226002,0.056469392,0.099264964
77,CRI,2015,2.0,0.019248603,0.019248642,0.019248629,0.01924848,0.019248886,0.7690161,0.019248672,0.019248692,0.019248901,0.01924865,0.019248597,0.019248582,0.019248525
78,CRI,2018,2.0,0.051560003,0.0603751,0.059139132,0.09270489,0.10737887,0.08997718,0.029388987,0.0662579,0.10084252,0.089365415,0.08224574,0.07812611,0.09263814
79,CRI,2019,2.0,0.04947693,0.06512004,0.04921582,0.11404831,0.09825721,0.0888132,0.05351585,0.06656996,0.11303768,0.06816415,0.11668593,0.053569306,0.06352562
80,CRI,2020,2.0,0.038047228,0.074612945,0.05311706,0.11637904,0.09939009,0.06718031,0.056501877,0.06406478,0.091069154,0.03380854,0.1838531,0.048544105,0.073431775
81,CRI,2021,2.0,0.05706232,0.051939037,0.056262687,0.07753446,0.06798187,0.06462628,0.030390577,0.08075613,0.07363009,0.06252155,0.23213887,0.09117286,0.05398329
82,CRI,2022,2.0,0.08257616,0.067027375,0.05279132,0.120510995,0.052064896,0.06349805,0.052589353,0.067539014,0.07873662,0.0611786,0.13793017,0.06759652,0.09596094
83,CRI,2023,2.0,0.108083285,0.056909863,0.046136107,0.10508159,0.047539346,0.08744054,0.045248475,0.059147153,0.12825379,0.076511584,0.10001735,0.057723887,0.08190703
84,CZE,2017,2.0,0.09210024,0.03327814,0.033278108,0.033278223,0.3046577,0.07996564,0.053093094,0.033278164,0.116217546,0.0570685,0.067817986,0.0626885,0.033278156
85,CZE,2018,2.0,0.048904486,0.075762965,0.04396767,0.12601879,0.09915703,0.081329346,0.07059284,0.054498907,0.11309591,0.09766962,0.059457798,0.035487182,0.09405747
86,CZE,2019,2.0,0.043523747,0.083375715,0.034855317,0.14503746,0.11903572,0.083446585,0.059176587,0.042321175,0.12168635,0.06005317,0.046730056,0.037601046,0.12315708
87,CZE,2020,2.0,0.05476761,0.083298236,0.03990319,0.16821164,0.082674555,0.070732355,0.05949106,0.057947904,0.1062243,0.07258258,0.032131206,0.03984153,0.13219383
88,CZE,2021,2.0,0.070170484,0.07435027,0.037669435,0.12759641,0.06594798,0.066630535,0.04473564,0.058224756,0.07603386,0.06801396,0.09735751,0.07139296,0.1418762
89,CZE,2022,2.0,0.03844231,0.13222703,0.02394129,0.039116982,0.03000385,0.26346627,0.024640722,0.028696436,0.036966756,0.027618682,0.06160856,0.25949046,0.0337806
90,CZE,2023,2.0,0.08351243,0.06813743,0.04271544,0.115914285,0.06331922,0.0780897,0.07520828,0.054848105,0.119612224,0.0641019,0.083686545,0.04778395,0.10307049
91,DEU,2015,2.0,0.0132767875,0.107285835,0.013276679,0.013276714,0.09878679,0.013276638,0.10565834,0.17993626,0.14657396,0.20558393,0.076514825,0.013276595,0.013276665
92,DEU,2016,2.0,0.026855912,0.018794402,0.010998995,0.015970247,0.36121345,0.037117694,0.018421216,0.07932204,0.023783933,0.16152109,0.21541291,0.010998972,0.01958913
93,DEU,2017,2.0,0.019998636,0.03454407,0.019049225,0.025772844,0.31649655,0.054961067,0.030175146,0.03143138,0.04919998,0.14650919,0.21003313,0.019396711,0.042432074
94,DEU,2018,2.0,0.056403406,0.12057465,0.034486696,0.102895536,0.08652389,0.08958465,0.0534988,0.052708693,0.15113322,0.056401562,0.05293507,0.03868833,0.1041655
95,DEU,2019,2.0,0.054714978,0.09447207,0.036689244,0.10926072,0.08800391,0.092385754,0.051553763,0.05322054,0.17170587,0.06505639,0.046075843,0.04175594,0.09510497
96,DEU,2020,2.0,0.05260042,0.096874855,0.03545132,0.12165871,0.09241965,0.08149714,0.05710152,0.06212458,0.1285591,0.06540679,0.047065683,0.04230206,0.11693818
97,DEU,2021,2.0,0.07165715,0.08592675,0.044445362,0.10815811,0.06756327,0.07308227,0.05599223,0.060551874,0.086971626,0.06462846,0.1189292,0.058291372,0.10380231
98,DEU,2022,2.0,0.12706493,0.07149945,0.050748426,0.08257906,0.05613235,0.07723394,0.05227471,0.059665814,0.07388983,0.06068227,0.14517453,0.06856703,0.07448765
99,DEU,2023,2.0,0.07087672,0.06791003,0.16686545,0.08456016,0.059864186,0.07437526,0.06259312,0.062125884,0.08172065,0.04918918,0.09614732,0.046806015,0.07696601
100,DNK,2016,2.0,0.053306952,0.017321697,0.017321646,0.13121891,0.22980373,0.10330159,0.050791,0.1254693,0.017321685,0.095761776,0.045800764,0.017321745,0.0952592
101,DNK,2017,2.0,0.02940771,0.029407715,0.029407775,0.029407779,0.16429384,0.029407725,0.029407963,0.029407835,0.34562066,0.19600774,0.029407846,0.029407712,0.029407695
102,DNK,2018,2.0,0.051523373,0.09886517,0.036019098,0.13046473,0.076337904,0.07567508,0.06534793,0.052440945,0.14070179,0.06883716,0.046863373,0.04998937,0.106934085
103,DNK,2019,2.0,0.044520013,0.10969772,0.037273444,0.12753913,0.078260005,0.07139438,0.062195104,0.05207059,0.16358656,0.063446686,0.042340253,0.04107251,0.106603615
104,DNK,2020,2.0,0.049053006,0.11564408,0.03293716,0.11890401,0.085141174,0.09900488,0.07219973,0.048326384,0.1475807,0.07144565,0.034881223,0.036420416,0.08846158
105,DNK,2021,2.0,0.07641302,0.084814444,0.03370406,0.119261414,0.07725518,0.07129493,0.05571856,0.05245547,0.08615528,0.06882857,0.12114954,0.057296343,0.095653206
106,DNK,2022,2.0,0.092213996,0.06289467,0.048281867,0.11025644,0.06873006,0.06825341,0.064843014,0.06861133,0.08897236,0.066470414,0.13321812,0.055308487,0.07194584
107,DNK,2023,2.0,0.058656715,0.09645549,0.053823724,0.13683581,0.0703379,0.06430437,0.05543842,0.06740096,0.098936714,0.074129984,0.09101306,0.058928926,0.07373792
108,ESP,2015,2.0,0.03219615,0.0321962,0.032196123,0.18789308,0.27591565,0.16670287,0.032196175,0.032196183,0.032196432,0.032196134,0.07972273,0.03219613,0.032196153
109,ESP,2016,2.0,0.026807604,0.05852011,0.055859976,0.0996489,0.1774172,0.074384294,0.08597847,0.07317915,0.034141127,0.078090996,0.09679454,0.049767308,0.08941032
110,ESP,2017,2.0,0.0506033,0.053730562,0.051836196,0.086004026,0.14031132,0.067005426,0.06580948,0.045906547,0.108305186,0.07249016,0.14817053,0.058217783,0.05160949
111,ESP,2018,2.0,0.04723733,0.08855094,0.03556405,0.113245994,0.11988152,0.07241892,0.055271283,0.05765188,0.11761843,0.061577562,0.083166055,0.041543916,0.10627212
112,ESP,2019,2.0,0.046210453,0.12378401,0.03376027,0.10050751,0.109800495,0.079942524,0.045739196,0.0453246,0.15306091,0.052825466,0.059867956,0.03376273,0.11541387
113,ESP,2020,2.0,0.05072145,0.07829742,0.039184913,0.12618244,0.08523778,0.072641335,0.055093102,0.05570599,0.14094572,0.06546313,0.07253523,0.0496662,0.10832529
114,ESP,2021,2.0,0.06463636,0.07741683,0.039684217,0.10942593,0.06444388,0.058546674,0.047037076,0.111455075,0.08927858,0.06523461,0.106339246,0.05736097,0.10914055
115,ESP,2022,2.0,0.061727483,0.046061736,0.044793993,0.065924145,0.07491019,0.062868014,0.04686344,0.05175926,0.060361136,0.051366977,0.120568566,0.23691177,0.07588328
116,ESP,2023,2.0,0.07469097,0.06106425,0.04823814,0.08815244,0.06823091,0.073401436,0.063815065,0.06819263,0.075660944,0.06647927,0.1670749,0.05775635,0.08724269
117,EST,2016,2.0,0.029322527,0.02932255,0.19584751,0.029322503,0.2441052,0.029322676,0.029322622,0.029322544,0.19597197,0.029322535,0.02932251,0.029322503,0.10017239
118,EST,2018,2.0,0.0555765,0.10187301,0.03291262,0.1085495,0.07536736,0.06967211,0.060753677,0.028768515,0.16948289,0.061279718,0.0476903,0.039500047,0.14857379
119,EST,2019,2.0,0.044957694,0.10820743,0.039499532,0.15054418,0.05744217,0.05913635,0.043147285,0.045489836,0.17209294,0.05179106,0.03496604,0.028654573,0.16407092
120,EST,2020,2.0,0.027465418,0.086039186,0.0465252,0.14965287,0.08578231,0.048076462,0.039377373,0.052197363,0.1347456,0.05934702,0.04479474,0.044974152,0.18102232
121,EST,2021,2.0,0.1118503,0.093920045,0.04522038,0.10143513,0.042831242,0.07646169,0.063057475,0.055588096,0.09517634,0.07211804,0.107046135,0.049111746,0.08618339
122,EST,2022,2.0,0.09262246,0.050215166,0.08145614,0.053617533,0.05953455,0.0818234,0.0565018,0.054723468,0.05247003,0.1007992,0.18187296,0.0872198,0.0471435
123,EST,2023,2.0,0.060325015,0.046678085,0.21575147,0.07549595,0.066988975,0.0708831,0.059009694,0.060801946,0.083178855,0.041811734,0.122166425,0.04685089,0.050057847
124,FIN,2016,2.0,0.025655605,0.02565561,0.025655592,0.025655631,0.025656378,0.35898793,0.025655607,0.025655653,0.025655754,0.025655597,0.35879943,0.025655594,0.025655625
125,FIN,2017,2.0,0.025645621,0.025645882,0.025645562,0.025645828,0.025645716,0.025645789,0.025646191,0.025645638,0.025645563,0.025645893,0.025645586,0.025645616,0.69225115
126,FIN,2018,2.0,0.043502238,0.07395435,0.03652519,0.13592744,0.08161906,0.081019364,0.04661696,0.04918304,0.2034491,0.04976099,0.043786135,0.05684836,0.09780778
127,FIN,2019,2.0,0.045807645,0.08714679,0.041994914,0.11479865,0.10477482,0.062932886,0.063269,0.04993587,0.18845282,0.054382082,0.054780353,0.053524703,0.07819947
128,FIN,2020,2.0,0.04207634,0.07852128,0.038178395,0.1234124,0.1424595,0.07200948,0.06254983,0.042316753,0.12901315,0.072303735,0.056543674,0.040076993,0.10053847
129,FIN,2021,2.0,0.05559016,0.06222772,0.051183507,0.1266746,0.07802595,0.06896156,0.0468372,0.06927208,0.08197515,0.058310103,0.11323874,0.08048924,0.107214
130,FIN,2022,2.0,0.08809335,0.063884,0.052565627,0.11522538,0.06846539,0.081473395,0.049596466,0.06371214,0.075426325,0.06749111,0.11959629,0.07031741,0.08415313
131,FIN,2023,2.0,0.07251981,0.066754445,0.058494337,0.11474093,0.0828085,0.07693109,0.059270147,0.076639436,0.09557227,0.07925267,0.0857402,0.054929577,0.076346576
132,FRA,2015,2.0,0.051814005,0.024836926,0.052615482,0.05208057,0.1566118,0.14325531,0.05346026,0.066502936,0.09427642,0.089053474,0.06650351,0.07433952,0.0746498
133,FRA,2016,2.0,0.048171196,0.033149533,0.09627345,0.14268592,0.1157465,0.06666364,0.03957607,0.2004317,0.041348696,0.05644355,0.087253675,0.04911103,0.023145035
134,FRA,2017,2.0,0.066510126,0.08653416,0.047222685,0.091284044,0.15753752,0.02722765,0.093080714,0.07200429,0.08887266,0.044472814,0.11072956,0.035368662,0.079155125
135,FRA,2018,2.0,0.05423532,0.08404136,0.040435158,0.10647059,0.09387403,0.07629313,0.060237754,0.053103223,0.14708146,0.062165752,0.06396997,0.042836264,0.115256004
136,FRA,2019,2.0,0.044816725,0.08247211,0.03611798,0.11474182,0.09161043,0.080886304,0.05453567,0.054404896,0.1385077,0.06186039,0.07537422,0.058395132,0.106276624
137,FRA,2020,2.0,0.048806634,0.07386828,0.039044913,0.11840982,0.09354133,0.075522736,0.063659385,0.059393574,0.10519606,0.068972684,0.072686076,0.046145838,0.13475266
138,FRA,2021,2.0,0.074226454,0.06828976,0.045638707,0.10555157,0.06252112,0.06632278,0.06336149,0.06397352,0.08308905,0.064580336,0.14173135,0.055253863,0.105459996
139,FRA,2022,2.0,0.08224426,0.060364973,0.054197613,0.082428485,0.07821079,0.079613805,0.05965989,0.06948292,0.0836154,0.06737945,0.14305174,0.073791385,0.0659593
140,FRA,2023,2.0,0.07439896,0.060383815,0.049619265,0.0788729,0.06459051,0.07032039,0.05822719,0.064865075,0.09971016,0.06221553,0.18492267,0.060868282,0.071005255
141,FRO,2019,2.0,0.011924306,0.011924283,0.011924354,0.011924287,0.38698083,0.011924302,0.011924266,0.278674,0.011924293,0.011924349,0.011924393,0.14409027,0.082936056
142,FRO,2022,2.0,0.016045392,0.01604546,0.016045367,0.01604538,0.29836774,0.18128355,0.108636566,0.17618614,0.016045492,0.0160454,0.016045403,0.107162684,0.016045427
143,GBR,2015,2.0,0.052079335,0.19022423,0.016909773,0.06963871,0.19043297,0.053079557,0.03584472,0.10573922,0.058781125,0.06072874,0.06085683,0.04453572,0.061149064
144,GBR,2016,2.0,0.04986749,0.08096355,0.048068542,0.047109835,0.21898708,0.05315335,0.08892563,0.07667536,0.12940548,0.062098816,0.0734968,0.032197133,0.039050918
145,GBR,2017,2.0,0.035639077,0.07424346,0.057360735,0.05297814,0.17336424,0.06618839,0.08133564,0.069618054,0.112920105,0.09154551,0.08328088,0.036725767,0.064800024
