,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9
121,FJI,2023,1.0,0.05012866,0.05012866,0.05012866,0.05012866,0.5488421,0.05012866,0.05012866,0.05012866,0.05012866,0.05012866
122,GHA,2016,1.0,0.077992134,0.06748798,0.017389951,0.12597455,0.017390413,0.08935063,0.34078154,0.017389601,0.17906179,0.067181416
123,GHA,2017,1.0,0.6639199,0.014671953,0.014671382,0.014671446,0.014675332,0.014671341,0.014673719,0.014672808,0.21869995,0.014672177
124,GHA,2018,1.0,0.08440149,0.1469499,0.074025854,0.13660818,0.06989584,0.06429797,0.09964505,0.10434045,0.14826931,0.07156595
125,GHA,2019,1.0,0.101902165,0.1251342,0.07473085,0.11523883,0.090557694,0.075392336,0.10038106,0.10533021,0.13999398,0.0713387
126,GHA,2020,1.0,0.08847172,0.13808684,0.072902866,0.115711756,0.08749242,0.079034396,0.09363016,0.10040674,0.1432569,0.08100622
127,GHA,2021,1.0,0.07203434,0.16361757,0.06635377,0.102825806,0.09378303,0.08433031,0.10013847,0.095295474,0.14423017,0.07739106
128,GHA,2022,1.0,0.08894248,0.13920957,0.048331037,0.0876367,0.089962475,0.10707091,0.09516572,0.10411062,0.1424791,0.09709138
129,GHA,2023,1.0,0.07287721,0.13443762,0.04807461,0.10861349,0.116662264,0.0979761,0.12341503,0.08297863,0.14571974,0.0692453
130,GIN,2019,1.0,0.00770163,0.0077020186,0.0077015013,0.40805885,0.007701698,0.007701365,0.530328,0.0077028056,0.0077012307,0.007701004
131,GIN,2020,1.0,0.016811324,0.01681341,0.20895304,0.2506127,0.01681162,0.016809426,0.016815173,0.23062883,0.016811991,0.20893246
132,GIN,2021,1.0,0.016671345,0.016675059,0.016672127,0.016671764,0.016672557,0.016671775,0.37905753,0.016673425,0.016673157,0.48756126
133,GIN,2022,1.0,0.1225605,0.03970877,0.039700635,0.37234113,0.03970021,0.039701395,0.039700225,0.039700065,0.03970018,0.22718689
134,GMB,2018,1.0,0.037747197,0.116941616,0.03434783,0.1136499,0.08004227,0.017824017,0.09191687,0.10105172,0.35612148,0.050357103
135,GMB,2019,1.0,0.11028117,0.089181595,0.049361188,0.19094509,0.09053921,0.03654914,0.12211285,0.13768587,0.15432195,0.019021941
136,GMB,2020,1.0,0.08520799,0.16712725,0.11890215,0.080493785,0.073378,0.04086906,0.13574538,0.10093533,0.14210145,0.055239588
137,GMB,2021,1.0,0.09475494,0.1584174,0.076874144,0.1111829,0.07085457,0.04647748,0.14088845,0.08749559,0.16170879,0.051345713
